district,square,floor,rooms,year,building_type,price
Almaly,60,5,2,2010,Brick,74000
Alatau,75,7,3,2015,Panel,91000
Auezov,45,3,1,2005,Monolith,53000
Bostandyk,90,9,3,2018,Brick,112000
Zhetysu,55,4,2,2008,Block,66000
Almaly,70,6,3,2011,Brick,85000
Auezov,48,2,1,2004,Panel,52000
Bostandyk,100,12,4,2020,Monolith,130000
Zhetysu,65,5,2,2009,Panel,72000
Alatau,80,10,3,2017,Brick,98000
Almaly,58,5,2,2012,Brick,76000
Zhetysu,67,6,2,2013,Panel,74000
Auezov,50,4,1,2007,Monolith,56000
Bostandyk,95,11,3,2019,Brick,115000
Alatau,72,7,2,2015,Panel,86000
Auezov,46,2,1,2006,Block,51000
Zhetysu,60,3,2,2010,Block,68000
Almaly,68,6,3,2014,Brick,87000
Bostandyk,110,13,4,2021,Monolith,138000
Alatau,85,9,3,2016,Brick,102000
Almaly,65,5,2,2013,Brick,79000
Auezov,52,3,1,2008,Monolith,58000
Zhetysu,62,4,2,2011,Panel,70000
Bostandyk,105,12,4,2020,Brick,132000
Alatau,78,8,3,2016,Panel,95000
Auezov,47,2,1,2005,Panel,52500
Zhetysu,59,3,2,2009,Block,66500
Almaly,73,6,3,2015,Brick,88000
Bostandyk,98,10,4,2021,Monolith,128000
Alatau,76,9,3,2018,Brick,99000
Almaly,64,5,2,2012,Brick,79500
Alatau,82,9,3,2017,Panel,97500
Auezov,49,3,1,2006,Monolith,54500
Bostandyk,102,12,4,2020,Brick,134000
Zhetysu,61,4,2,2010,Block,68500
Almaly,69,6,3,2014,Brick,86500
Bostandyk,108,13,4,2021,Monolith,136000
Alatau,88,10,3,2018,Brick,101000
Auezov,53,3,1,2007,Panel,57500
Zhetysu,63,5,2,2011,Panel,71000
